2022-11-16 01:14:45主播排名以及观看数：
当前排名第35的主播为： Y1hanOVO，当前观看人数为35.3万,直播链接：https://www.douyu.com/333344
当前排名第36的主播为： 天灰灰qaq，当前观看人数为34.3万,直播链接：https://www.douyu.com/5225084
当前排名第37的主播为： 小翁亚索，当前观看人数为32.3万,直播链接：https://www.douyu.com/252171
当前排名第38的主播为： 林子文i，当前观看人数为31.4万,直播链接：https://www.douyu.com/9063322
当前排名第39的主播为： 路浩东ouo，当前观看人数为31.3万,直播链接：https://www.douyu.com/6868476
当前排名第40的主播为： 双一ovo，当前观看人数为30.9万,直播链接：https://www.douyu.com/9811073
当前排名第41的主播为： 爷大干，当前观看人数为30.7万,直播链接：https://www.douyu.com/249813
当前排名第42的主播为： 洁夕小仙女，当前观看人数为30.2万,直播链接：https://www.douyu.com/8977376
当前排名第43的主播为： 舟老师丶，当前观看人数为29.4万,直播链接：https://www.douyu.com/39300
当前排名第44的主播为： 妙音OvO，当前观看人数为29.1万,直播链接：https://www.douyu.com/10710592
当前排名第45的主播为： 英雄联盟赛事，当前观看人数为28.9万,直播链接：https://www.douyu.com/288016
当前排名第46的主播为： 小满月i，当前观看人数为28.8万,直播链接：https://www.douyu.com/205900
当前排名第47的主播为： 林思瑶丶，当前观看人数为28.4万,直播链接：https://www.douyu.com/9376674
当前排名第48的主播为： 神威仙大将军，当前观看人数为26.7万,直播链接：https://www.douyu.com/780824
当前排名第49的主播为： 斗鱼丶华仔，当前观看人数为26.5万,直播链接：https://www.douyu.com/24418
当前排名第50的主播为： 最初卡莎，当前观看人数为24.6万,直播链接：https://www.douyu.com/4527270
当前排名第51的主播为： 糖宝sweety，当前观看人数为23.6万,直播链接：https://www.douyu.com/3474208
当前排名第52的主播为： 昊天jug，当前观看人数为23.4万,直播链接：https://www.douyu.com/10800159
当前排名第53的主播为： 爱意烂大街啊，当前观看人数为22.3万,直播链接：https://www.douyu.com/11127067
当前排名第54的主播为： 灰灰小法师OvO，当前观看人数为21.9万,直播链接：https://www.douyu.com/2361531
当前排名第55的主播为： 大菲想要5杀，当前观看人数为21.8万,直播链接：https://www.douyu.com/6592597
当前排名第56的主播为： 波波卡特ovo，当前观看人数为21.7万,直播链接：https://www.douyu.com/6317186
当前排名第57的主播为： 英雄联盟赛事2，当前观看人数为21.2万,直播链接：https://www.douyu.com/424559
当前排名第58的主播为： 小茶雀，当前观看人数为21.1万,直播链接：https://www.douyu.com/10232987
当前排名第59的主播为： 苏轼丶Sush4，当前观看人数为20.8万,直播链接：https://www.douyu.com/68652
当前排名第60的主播为： 唐人龙龟，当前观看人数为20.7万,直播链接：https://www.douyu.com/4533200
当前排名第61的主播为： 姬楚楚a，当前观看人数为19.6万,直播链接：https://www.douyu.com/10030529
当前排名第62的主播为： 小马尾OnO，当前观看人数为19.6万,直播链接：https://www.douyu.com/79606
当前排名第63的主播为： 狼神丶欧阳，当前观看人数为19.4万,直播链接：https://www.douyu.com/7670275
当前排名第64的主播为： 毛毛ad丷，当前观看人数为18.9万,直播链接：https://www.douyu.com/10207752
当前排名第65的主播为： 辅助球球，当前观看人数为18.8万,直播链接：https://www.douyu.com/886142
当前排名第66的主播为： 半勺奶酪QvQ，当前观看人数为18.4万,直播链接：https://www.douyu.com/10197699
当前排名第67的主播为： 虚弱剑圣怒江，当前观看人数为17.5万,直播链接：https://www.douyu.com/139219
当前排名第68的主播为： 甜雨n，当前观看人数为17.3万,直播链接：https://www.douyu.com/1503792
当前排名第69的主播为： 锤石哥哥y，当前观看人数为17.2万,直播链接：https://www.douyu.com/2123210
当前排名第70的主播为： 允儿babe，当前观看人数为17.1万,直播链接：https://www.douyu.com/10805034
当前排名第71的主播为： 地球胖丶驴酱，当前观看人数为16.4万,直播链接：https://www.douyu.com/2057760
当前排名第72的主播为： Jz0w0，当前观看人数为16.3万,直播链接：https://www.douyu.com/9847280
当前排名第73的主播为： 是你的顾璃吗，当前观看人数为16.3万,直播链接：https://www.douyu.com/10806647
当前排名第74的主播为： 白色羽毛zzzZ，当前观看人数为16.2万,直播链接：https://www.douyu.com/31969
当前排名第75的主播为： 优U妹，当前观看人数为15.5万,直播链接：https://www.douyu.com/10901844
当前排名第76的主播为： Akl托尼老师，当前观看人数为15.5万,直播链接：https://www.douyu.com/795972
当前排名第77的主播为： 呆星QvQ，当前观看人数为15.3万,直播链接：https://www.douyu.com/5790472
当前排名第78的主播为： 比比没睡醒，当前观看人数为15.1万,直播链接：https://www.douyu.com/11198268
当前排名第79的主播为： 初恋雯Ww，当前观看人数为14.6万,直播链接：https://www.douyu.com/1379794
当前排名第80的主播为： 钙钙亚，当前观看人数为14.3万,直播链接：https://www.douyu.com/9541488
当前排名第81的主播为： 一只鬼呀，当前观看人数为13.8万,直播链接：https://www.douyu.com/10088546
当前排名第82的主播为： 温晚调皮蛋，当前观看人数为13.7万,直播链接：https://www.douyu.com/9655100
当前排名第83的主播为： 少年小治，当前观看人数为13.6万,直播链接：https://www.douyu.com/9570221
当前排名第84的主播为： 皮在痒yang丶，当前观看人数为13.6万,直播链接：https://www.douyu.com/3851637
当前排名第85的主播为： 宛青儿，当前观看人数为13.4万,直播链接：https://www.douyu.com/8510905
当前排名第86的主播为： 心仔宝贝，当前观看人数为13.2万,直播链接：https://www.douyu.com/2621855
当前排名第87的主播为： 鹿鹿小九，当前观看人数为12.9万,直播链接：https://www.douyu.com/7657541
当前排名第88的主播为： 俞俊0829，当前观看人数为12.9万,直播链接：https://www.douyu.com/2124309
当前排名第89的主播为： 花涩迷人，当前观看人数为12.9万,直播链接：https://www.douyu.com/4020510
当前排名第90的主播为： 苏小木0，当前观看人数为12.6万,直播链接：https://www.douyu.com/2279814
当前排名第91的主播为： 浪灯赵信，当前观看人数为12.4万,直播链接：https://www.douyu.com/600290
当前排名第92的主播为： 奶斯呢i，当前观看人数为12.2万,直播链接：https://www.douyu.com/3393078
当前排名第93的主播为： 饭饭又困了，当前观看人数为11.7万,直播链接：https://www.douyu.com/10186436
当前排名第94的主播为： 让沫沫带你飞，当前观看人数为11.5万,直播链接：https://www.douyu.com/5332021
当前排名第95的主播为： 野格不也，当前观看人数为11.5万,直播链接：https://www.douyu.com/2408597
当前排名第96的主播为： 十七吸血鬼QAQ，当前观看人数为11.4万,直播链接：https://www.douyu.com/9594959
当前排名第97的主播为： 欧文男刀，当前观看人数为11.2万,直播链接：https://www.douyu.com/10586994
当前排名第98的主播为： 射可可可可，当前观看人数为11.1万,直播链接：https://www.douyu.com/13423
当前排名第99的主播为： 阿俊卡特c，当前观看人数为10.9万,直播链接：https://www.douyu.com/5152641
当前排名第100的主播为： 别抢小猫饭碗，当前观看人数为10.8万,直播链接：https://www.douyu.com/11226813
当前排名第101的主播为： 浩钦诺手，当前观看人数为10.8万,直播链接：https://www.douyu.com/561155
当前排名第102的主播为： 乔可心QAQ，当前观看人数为10.6万,直播链接：https://www.douyu.com/1369152
当前排名第103的主播为： 喝白酒的淑女顾小绵m，当前观看人数为10.4万,直播链接：https://www.douyu.com/557385
当前排名第104的主播为： 肉汤圆OvO，当前观看人数为10.3万,直播链接：https://www.douyu.com/5176144
当前排名第105的主播为： 陈小贱豹女，当前观看人数为10.3万,直播链接：https://www.douyu.com/11187979
当前排名第106的主播为： 杰杰凯南，当前观看人数为10.2万,直播链接：https://www.douyu.com/6027430
当前排名第107的主播为： 双重人格2，当前观看人数为10.1万,直播链接：https://www.douyu.com/9692533
2022-11-19 13:55:49主播排名以及观看数：
 当前排名第1的主播为： 智勋勋勋勋，当前观看人数为327.2万,直播链接：https://www.douyu.com/312212
当前排名第2的主播为： 余小C真的很强，当前观看人数为167.6万,直播链接：https://www.douyu.com/1126960
当前排名第3的主播为： 孙悟空丨兰林汉，当前观看人数为145.8万,直播链接：https://www.douyu.com/475252
当前排名第4的主播为： 即将拥有人鱼线的PDD，当前观看人数为589.5万,直播链接：https://www.douyu.com/101
当前排名第5的主播为： 疯狗炼金，当前观看人数为95.3万,直播链接：https://www.douyu.com/338281
当前排名第6的主播为： 恶霸提莫，当前观看人数为48.9万,直播链接：https://www.douyu.com/5220173
当前排名第7的主播为： 章发财丶，当前观看人数为87.2万,直播链接：https://www.douyu.com/9450562
当前排名第8的主播为： None，当前观看人数为86.9万,直播链接：https://www.douyu.com/10710592
当前排名第9的主播为： 网友张顺飞，当前观看人数为64.9万,直播链接：https://www.douyu.com/2561707
当前排名第10的主播为： 龙兄虎弟丨，当前观看人数为119.1万,直播链接：https://www.douyu.com/1945604
当前排名第11的主播为： 阿超cc丶，当前观看人数为84.1万,直播链接：https://www.douyu.com/823042
当前排名第12的主播为： 十月船长丶，当前观看人数为66.3万,直播链接：https://www.douyu.com/718133
当前排名第13的主播为： 冷爷行妹，当前观看人数为64.5万,直播链接：https://www.douyu.com/729149
当前排名第14的主播为： 电棍，当前观看人数为62.8万,直播链接：https://www.douyu.com/12306
当前排名第15的主播为： 小翁亚索，当前观看人数为62.2万,直播链接：https://www.douyu.com/252171
当前排名第16的主播为： 中年人拳师七号，当前观看人数为59.7万,直播链接：https://www.douyu.com/1476712
当前排名第17的主播为： Dy丶小然，当前观看人数为75.7万,直播链接：https://www.douyu.com/5820055
当前排名第18的主播为： 左手吸血鬼QAQ，当前观看人数为57.9万,直播链接：https://www.douyu.com/6296895
当前排名第19的主播为： Night丶杀神风，当前观看人数为57.3万,直播链接：https://www.douyu.com/217785
当前排名第20的主播为： 爱晚风渐渐，当前观看人数为167.1万,直播链接：https://www.douyu.com/9583469
当前排名第21的主播为： 苏宛儿丶，当前观看人数为15.2万,直播链接：https://www.douyu.com/10708600
当前排名第22的主播为： 太原马超丶，当前观看人数为55.6万,直播链接：https://www.douyu.com/891464
当前排名第23的主播为： 主播油条，当前观看人数为52.3万,直播链接：https://www.douyu.com/56040
当前排名第24的主播为： 喝白酒的淑女顾小绵m，当前观看人数为52.2万,直播链接：https://www.douyu.com/557385
当前排名第25的主播为： 一家之猪ovo，当前观看人数为46.5万,直播链接：https://www.douyu.com/10208912
当前排名第26的主播为： 你的大湿兄zZ，当前观看人数为45.8万,直播链接：https://www.douyu.com/888388
当前排名第27的主播为： 喵可岩雀s，当前观看人数为44.8万,直播链接：https://www.douyu.com/7042605
当前排名第28的主播为： LOL丶摇摆，当前观看人数为41.7万,直播链接：https://www.douyu.com/107253
当前排名第29的主播为： 阿轩姑娘，当前观看人数为40.4万,直播链接：https://www.douyu.com/8400497
当前排名第30的主播为： 希然Iris，当前观看人数为39.4万,直播链接：https://www.douyu.com/9678745
当前排名第31的主播为： 小白白不听不听，当前观看人数为37.1万,直播链接：https://www.douyu.com/5324613
当前排名第32的主播为： 自宇666，当前观看人数为36.7万,直播链接：https://www.douyu.com/6151888
当前排名第33的主播为： 路浩东ouo，当前观看人数为36.6万,直播链接：https://www.douyu.com/6868476
当前排名第34的主播为： Y1hanOVO，当前观看人数为36.6万,直播链接：https://www.douyu.com/333344
当前排名第35的主播为： 天灰灰qaq，当前观看人数为36.1万,直播链接：https://www.douyu.com/5225084
当前排名第36的主播为： 林子文i，当前观看人数为33.9万,直播链接：https://www.douyu.com/9063322
当前排名第37的主播为： 尺子AD，当前观看人数为33.3万,直播链接：https://www.douyu.com/7955682
当前排名第38的主播为： 安甜妹妹，当前观看人数为32.7万,直播链接：https://www.douyu.com/10228160
当前排名第39的主播为： 双一ovo，当前观看人数为32.3万,直播链接：https://www.douyu.com/9811073
当前排名第40的主播为： 爷大干，当前观看人数为31.4万,直播链接：https://www.douyu.com/249813
当前排名第41的主播为： 柠檬小特特，当前观看人数为30.9万,直播链接：https://www.douyu.com/9317327
当前排名第42的主播为： 海神丶俄洛伊，当前观看人数为29.7万,直播链接：https://www.douyu.com/195131
当前排名第43的主播为： 妙音OvO，当前观看人数为29.4万,直播链接：https://www.douyu.com/10710592
当前排名第44的主播为： 英雄联盟赛事，当前观看人数为29.2万,直播链接：https://www.douyu.com/288016
当前排名第45的主播为： T1直播Canna，当前观看人数为29.1万,直播链接：https://www.douyu.com/9386923
当前排名第46的主播为： 林思瑶丶，当前观看人数为28.7万,直播链接：https://www.douyu.com/9376674
当前排名第47的主播为： 神威仙大将军，当前观看人数为26.8万,直播链接：https://www.douyu.com/780824
当前排名第48的主播为： 斗鱼丶华仔，当前观看人数为26.7万,直播链接：https://www.douyu.com/24418
当前排名第49的主播为： 最初卡莎，当前观看人数为26.2万,直播链接：https://www.douyu.com/4527270
当前排名第50的主播为： 糖宝sweety，当前观看人数为25.5万,直播链接：https://www.douyu.com/3474208
当前排名第51的主播为： 灰灰小法师OvO，当前观看人数为24.5万,直播链接：https://www.douyu.com/2361531
当前排名第52的主播为： 爱意烂大街啊，当前观看人数为24.2万,直播链接：https://www.douyu.com/11127067
当前排名第53的主播为： 十一叔叔o，当前观看人数为23.9万,直播链接：https://www.douyu.com/1164398
当前排名第54的主播为： 阿瑶超甜，当前观看人数为23.6万,直播链接：https://www.douyu.com/9765230
当前排名第55的主播为： 大菲想要5杀，当前观看人数为23.3万,直播链接：https://www.douyu.com/6592597
当前排名第56的主播为： 锤石哥哥y，当前观看人数为22.3万,直播链接：https://www.douyu.com/2123210
当前排名第57的主播为： 波波卡特ovo，当前观看人数为21.9万,直播链接：https://www.douyu.com/6317186
当前排名第58的主播为： Hana酱也是花老师，当前观看人数为21.7万,直播链接：https://www.douyu.com/9948512
当前排名第59的主播为： 英雄联盟赛事2，当前观看人数为21.6万,直播链接：https://www.douyu.com/424559
